                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7206,                 4.3282,                 4.2248,                0.00331,                0.54487,                0.01008,                0.00229,                 2.7738,                 4.0826,                 4.1584,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 2.7383,                 4.2947,                 4.2204,                0.00477,                0.65486,                0.00925,                0.00248,                 2.7739,                 4.0834,                 4.1575,             0.00013518,             0.00013518,             0.00013518
                      3,                 2.6916,                 4.2915,                 4.1848,                0.00451,                0.63731,                0.01085,                0.00332,                 2.7728,                 4.0838,                 4.1556,             0.00018717,             0.00018717,             0.00018717
                      4,                 2.7612,                 4.2048,                 4.1598,                0.00479,                0.67325,                0.00835,                0.00211,                 2.7716,                 4.0831,                 4.1538,             0.00022266,             0.00022266,             0.00022266
                      5,                 2.6098,                 4.2882,                  4.196,                 0.0044,                 0.6557,                0.00782,                0.00203,                  2.768,                 4.0807,                 4.1508,             0.00024165,             0.00024165,             0.00024165
                      6,                 2.6744,                 4.2111,                 4.1484,                0.00455,                0.65486,                0.00781,                0.00252,                 2.7654,                 4.0779,                 4.1484,             0.00024413,             0.00024413,             0.00024413
                      7,                  2.726,                  4.184,                 4.1371,                0.00459,                 0.6557,                0.00798,                 0.0024,                 2.7606,                 4.0763,                 4.1443,             0.00023011,             0.00023011,             0.00023011
                      8,                 2.6391,                 4.1519,                 4.1386,                0.00442,                0.64609,                0.00871,                0.00253,                 2.7576,                  4.075,                 4.1417,             0.00019959,             0.00019959,             0.00019959
                      9,                  2.687,                 4.1218,                 4.1016,                0.00447,                0.64609,                0.00751,                0.00222,                 2.7555,                 4.0715,                 4.1388,             0.00015256,             0.00015256,             0.00015256
                     10,                 2.7205,                 4.0377,                 4.0694,                0.00452,                0.64609,                0.00825,                0.00262,                 2.7544,                  4.069,                 4.1375,             8.9034e-05,             8.9034e-05,             8.9034e-05
